mes,gen_biodiesel_GWh,gen_biogas_GWh,gen_biomasa_GWh,gen_eolico_GWh,gen_hidro_lte50mw_GWh,gen_solar_GWh,gen_renovable_total_GWh,demanda_MEM_GWh,ratio_renovable_pct
2011-01-01,0.0,0.0,6.947531,0.103488,114.19678700000003,0.0,121.24780600000003,10205.611,1.1880504361767268
2011-02-01,0.0,0.0,5.995997999999998,0.624601,123.55224999999996,0.000535,130.17338399999997,9132.352,1.4254091826508652
2011-03-01,0.0,0.0,6.5506129999999985,0.727301,141.90194499999998,0.07192,149.251779,9854.991,1.5144790999809132
2011-04-01,0.0,0.0,6.061267000000001,0.6974330000000002,127.94283500000002,0.17623300000000003,134.877768,8906.404,1.514390858532804
2011-05-01,5.465021932875,0.0,7.542612000000001,0.852787,87.25475999999999,0.15995400000000004,101.27513493287499,9552.879125000001,1.0601530031698687
2011-06-01,6.347427649630999,0.0,6.556973999999999,1.1916629999999997,63.15151200000001,0.14589700000000003,77.39347364963102,10124.180440000002,0.7644418637962462
2011-07-01,12.313640633350998,0.0,7.243114,1.1785849999999998,60.233127999999994,0.132256,81.100723633351,10556.49137,0.7682545344926569
2011-08-01,6.8634374107400005,0.0,10.761486,0.43035999999999996,77.52789000000001,0.186255,95.76942841074002,10305.067140000001,0.9293430805414433
2011-09-01,0.55699011396,0.0,10.974117999999999,1.055963,101.83577500000003,0.204074,114.62692011396003,9082.31118,1.2620897681459975
2011-10-01,0.896749584227,0.0,9.334238000000001,1.3671300000000004,111.76325399999999,0.21028200000000002,123.571653584227,9047.198349999999,1.3658554704310977
2011-11-01,0.0,0.0,10.922155000000004,2.5474179999999995,113.14544099999998,0.23283199999999998,126.84784599999998,9493.027139999998,1.336221250917018
2011-12-01,0.050445,0.0,8.74426,5.199394,132.93429499999996,0.24295599999999995,147.17134999999996,10088.87975,1.4587481826215636
2012-01-01,9.2548,0.0,1.840344,18.851568,140.26226100000005,0.22582599999999997,170.43479900000006,10790.779859999999,1.579448392157266
2012-02-01,0.24329,0.0,0.06689600000000001,22.649984,114.74100099999998,0.19882500000000003,137.899996,10058.65759,1.3709582493104826
2012-03-01,0.0,0.0,3.713428,24.585974,149.210895,0.17958000000000002,177.68987699999997,10205.0035,1.741203489053188
2012-04-01,0.25068,0.0,6.308358,25.470872,123.382487,0.172213,155.58461,9008.27141,1.7271305772080419
