anio,provincia,gen_total_GWh,gen_eolico_GWh,gen_solar_GWh,gen_hidro_GWh,gen_biomasa_GWh,gen_eolico_pct,gen_solar_pct,gen_hidro_pct,gen_biomasa_pct
2014,SALTA,103.31078399999998,0.0,0.0,43.955113000000004,59.35567099999999,0.0,0.0,42.54649059676095,57.45350940323907
2014,SAN JUAN,254.241383,0.0,15.748637,238.492746,0.0,0.0,6.194364117347489,93.80563588265251,0.0
2014,SANTA FE,0.177461,0.0,0.0,0.177461,0.0,0.0,0.0,100.0,0.0
2014,SANTIAGO DEL ESTERO,136.90405900000002,0.0,0.0,136.90405900000002,0.0,0.0,0.0,100.0,0.0
2014,TUCUMAN,175.621205,0.0,0.0,163.856788,11.764417000000003,0.0,0.0,93.30125482284443,6.698745177155574
2015,BUENOS AIRES,83.833934,0.08098799999999998,0.0,0.0,83.752946,0.09660527203697726,0.0,0.0,99.90339472796302
2015,CHUBUT,684.990687,500.791517,0.0,184.19917,0.0,73.1092446224747,0.0,26.890755377525306,0.0
2015,CORDOBA,381.454097,0.0,0.0,381.454097,0.0,0.0,0.0,100.0,0.0
2015,JUJUY,115.412257,0.0,0.0,115.412257,0.0,0.0,0.0,100.0,0.0
2015,LA RIOJA,92.07845800000001,92.07845800000001,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2015,MENDOZA,196.008762,0.0,0.0,196.008762,0.0,0.0,0.0,100.0,0.0
2015,MISIONES,43.935459,0.0,0.0,0.0,43.935459,0.0,0.0,0.0,100.0
2015,RIO NEGRO,87.543751,0.0,0.0,87.543751,0.0,0.0,0.0,100.0,0.0
2015,SALTA,139.13781999999998,0.0,0.0,48.69404499999999,90.44377499999999,0.0,0.0,34.99698715992531,65.00301284007467
2015,SAN JUAN,260.01982300000003,0.0,14.670648000000002,245.349175,0.0,0.0,5.642126754312882,94.3578732456871,0.0
2015,SANTA FE,0.017539000000000003,0.0,0.0,0.017539000000000003,0.0,0.0,0.0,100.0,0.0
2015,SANTIAGO DEL ESTERO,146.57407,0.0,0.0,146.57407,0.0,0.0,0.0,100.0,0.0
2015,TUCUMAN,238.87278500000002,0.0,0.0,218.54803500000003,20.32475,0.0,0.0,91.49139153713138,8.508608462868635
2016,BUENOS AIRES,58.61280713143,0.00584,0.0,0.0,58.606967131430004,0.009963692724876183,0.0,0.0,99.99003630727512
2016,CHUBUT,584.355843,453.738449,0.0,130.61739400000002,0.0,77.64762762883846,0.0,22.352372371161522,0.0
2016,CORDOBA,431.49408000000005,0.0,0.0,431.49408000000005,0.0,0.0,0.0,100.0,0.0
2016,JUJUY,96.399056,0.0,0.0,96.399056,0.0,0.0,0.0,100.0,0.0
2016,LA RIOJA,93.026184,93.026184,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2016,MENDOZA,280.842023,0.0,0.0,280.842023,0.0,0.0,0.0,100.0,0.0
2016,MISIONES,58.183697,0.0,0.0,0.0,58.183697,0.0,0.0,0.0,100.0
2016,RIO NEGRO,85.255237,0.0,0.0,85.255237,0.0,0.0,0.0,100.0,0.0
2016,SALTA,173.39829400000002,0.0,0.0,55.84540300000001,117.552891,0.0,0.0,32.20643162729156,67.79356837270844
2016,SAN JUAN,359.72632899999996,0.0,14.263319000000001,345.46300999999994,0.0,0.0,3.965047273478835,96.03495272652115,0.0
2016,SANTA FE,0.011596,0.0,0.0,0.011596,0.0,0.0,0.0,100.0,0.0
2016,SANTIAGO DEL ESTERO,156.23122400000003,0.0,0.0,156.23122400000003,0.0,0.0,0.0,100.0,0.0
2016,TUCUMAN,255.22076199999998,0.0,0.0,237.95951,17.261252,0.0,0.0,93.23673675106417,6.7632632489358375
2017,BUENOS AIRES,58.818652,0.011758,0.0,0.0,58.806894,0.01999025751219188,0.0,0.0,99.98000974248781
2017,CHUBUT,732.03218,535.981884,0.0,196.050296,0.0,73.21835004575891,0.0,26.781649954241082,0.0
2017,CORDOBA,256.214692,0.0,0.0,252.381484,3.833208,0.0,0.0,98.50390780869037,1.4960921913096223
2017,JUJUY,105.662931,0.0,0.0,105.662931,0.0,0.0,0.0,100.0,0.0
2017,LA RIOJA,70.77245,70.77245,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2017,MENDOZA,265.022528,0.0,0.0,265.022528,0.0,0.0,0.0,100.0,0.0
2017,MISIONES,58.398033000000005,0.0,0.0,0.0,58.398033000000005,0.0,0.0,0.0,100.0
2017,RIO NEGRO,86.336893,0.0,0.0,86.336893,0.0,0.0,0.0,100.0,0.0
2017,SALTA,220.80254100000002,0.0,0.0,51.98694400000001,168.815597,0.0,0.0,23.54454064004635,76.45545935995365
2017,SAN JUAN,447.061965,0.0,16.405158,430.656807,0.0,0.0,3.6695490299650073,96.330450970035,0.0
2017,SAN LUIS,0.418291,0.0,0.0,0.0,0.418291,0.0,0.0,0.0,100.0
2017,SANTA FE,1.061792,0.0,0.0,0.0,1.061792,0.0,0.0,0.0,100.0
2017,SANTIAGO DEL ESTERO,163.0222,9.051663,0.0,153.970537,0.0,5.552411266686377,0.0,94.44758873331362,0.0
2017,TUCUMAN,169.14111000000003,0.0,0.0,153.806146,15.334964,0.0,0.0,90.93362695798791,9.06637304201208
2018,BUENOS AIRES,546.266684,424.816639,0.0,0.0,121.450045,77.76726120094118,0.0,0.0,22.23273879905881
2018,CATAMARCA,8.80926,0.0,8.80926,0.0,0.0,0.0,100.0,0.0,0.0
2018,CHUBUT,968.307267,842.4388260000001,0.0,125.868441,0.0,87.00118802268578,0.0,12.998811977314222,0.0
2018,CORDOBA,410.966809,84.16998500000001,0.0,275.569956,51.226868,20.480969060447897,0.0,67.05406615939147,12.464964780160628
2018,JUJUY,90.633874,0.0,0.0,90.633874,0.0,0.0,0.0,100.0,0.0
2018,LA RIOJA,93.585113,77.70309300000001,15.88202,0.0,0.0,83.02933074408962,16.97066925591039,0.0,0.0
2018,MENDOZA,194.75326700000002,0.0,0.0,194.75326700000002,0.0,0.0,0.0,100.0,0.0
2018,MISIONES,79.22345200000001,0.0,0.0,0.0,79.22345200000001,0.0,0.0,0.0,100.0
2018,RIO NEGRO,105.748821,0.0,0.0,105.748821,0.0,0.0,0.0,100.0,0.0
2018,SALTA,159.81032299999998,0.0,0.0,49.588842,110.221481,0.0,0.0,31.02981150973583,68.97018849026418
2018,SAN JUAN,336.466681,0.0,31.527147,304.939534,0.0,0.0,9.370065085285518,90.62993491471448,0.0
2018,SAN LUIS,55.655060000000006,0.0,53.103644,0.0,2.551416,0.0,95.41566211589745,0.0,4.584337884102541
2018,SANTA FE,9.261752,0.0,0.0,0.029663000000000002,9.232089,0.0,0.0,0.3202741770671467,99.67972582293287
2018,SANTIAGO DEL ESTERO,130.47973000000002,14.738799,0.0,115.74093100000002,0.0,11.29585338657583,0.0,88.70414661342417,0.0
2018,TUCUMAN,182.010677,0.0,0.0,167.810047,14.20063,0.0,0.0,92.19791375205972,7.802086247940279
