pais,country_code,anio,co2_MtCO2,poblacion,pbi_per_capita,co2_per_capita,electricity_TWh,energy_Mtoe,share_renewables,share_wind_solar,co2_per_pbi,co2_per_energy
Argentina,ARG,1990,101.126953398,32618651.0,4333.482973121461,3.1002800636359855,51.005,46.070359693,35.776885,0.0,0.715424540229084,2.1950545659265903
Argentina,ARG,1991,105.635924828,33079000.0,5735.360327352233,3.1934437204268566,53.855000000000004,47.490880146,30.736236,0.0,0.5567991439347161,2.22434127359287
Argentina,ARG,1992,108.945323118,33529326.0,6823.537616046798,3.2492547902096214,56.107,49.944085742000006,35.132871,0.0,0.4761833191288349,2.181345829029431
Argentina,ARG,1993,108.252772538,33970111.0,6969.118087810046,3.186706470814888,61.868,50.090300133999996,39.222215,0.0,0.4572610810525481,2.1611524037269807
Argentina,ARG,1994,116.102660435,34402672.0,7483.139681708444,3.374815201418076,64.813,53.284906984,42.872572,0.0,0.45098920305702295,2.1789033144012517
Argentina,ARG,1995,120.229591942,34828170.0,7408.708238187651,3.452078933288772,67.169,54.053059076,40.350459,0.0,0.465948829715723,2.2242883936125444
Argentina,ARG,1996,126.874924592,35246374.0,7721.35454273963,3.599658920716213,69.759,56.047417336,33.469516,0.014335,0.4661952641587949,2.263706886463554
Argentina,ARG,1997,132.21482575,35657429.0,8213.127199944785,3.7079180820916724,72.464,57.842190527,39.525834,0.0207,0.45146239572627095,2.285785246813635
Argentina,ARG,1998,136.055005825,36063459.0,8289.505729331177,3.7726554689332485,74.169,59.819940196000005,36.524694,0.044493,0.4551122337227262,2.27440892416836
Argentina,ARG,1999,139.697325653,36467218.0,7774.736202800005,3.8307645418139655,80.744,60.845160407,27.543842,0.043347,0.4927195523925748,2.295948021478605
Argentina,ARG,2000,139.521994832,36870787.0,7708.100996054139,3.7840796517850293,88.977,61.566460888,33.209706,0.039336,0.49092242742046854,2.2662013183738874
Argentina,ARG,2001,129.711256079,37275652.0,7208.371566512103,3.479785037133623,90.138,58.570494543,41.844727,0.054361,0.48274218455935924,2.2146177369865203
Argentina,ARG,2002,122.96856449600001,37681749.0,2593.404150424658,3.2633454592566817,84.491,56.911895547,43.589258,0.0864,1.2583250700521644,2.1606829875214384
Argentina,ARG,2003,132.663843236,38087868.0,3349.806124411496,3.4830997428367474,92.058,60.895207157,37.970627,0.084729,1.0397914426909314,2.1785596835883343
Argentina,ARG,2004,147.734608623,38491972.0,4277.721350643886,3.838062872512742,100.25,66.522762109,31.692768,0.07182,0.8972213376953677,2.2208129058281045
Argentina,ARG,2005,150.20952878699998,38892931.0,5109.851325226213,3.862129310516607,105.75,66.922476799,33.687943,0.070922,0.7558202900053321,2.2445303278022806
Argentina,ARG,2006,160.137963631,39289878.0,5919.012037077532,4.0758070979757175,107.07600000000001,72.806278737,37.249244,0.065374,0.6885958454627703,2.1995076030388874
Argentina,ARG,2007,166.687695348,39684295.0,7245.448317289446,4.200344124747587,107.755,73.74942905399999,30.06357,0.05661,0.5797217702491257,2.2601896378879056
Argentina,ARG,2008,178.18658682900002,40080160.0,9020.873098071945,4.445755376949593,121.927,77.66601820000001,26.538831,0.034447,0.49282983239170014,2.294267054738748
Argentina,ARG,2009,171.142574356,40482788.0,8225.137176264117,4.227539228671701,122.348,75.518237242,29.176611,0.029424,0.5139779602547446,2.266241647134447
Argentina,ARG,2010,174.594112729,40788453.0,10385.964431955525,4.280478907327032,125.59400000000001,78.67947971299999,28.773668,0.019905,0.41214072466461166,2.2190552526004095
Argentina,ARG,2011,181.83492877100002,41261490.0,12848.86419697053,4.406891965631877,129.892,80.557632118,32.4816,0.021556,0.34297910679691995,2.257202998527192
Argentina,ARG,2012,188.73958228,41733271.0,13082.664325571988,4.522520707279331,136.058,81.024311567,29.48522,0.277088,0.34568804906500583,2.3294191413638723
Argentina,ARG,2013,183.983333171,42202935.0,13080.254732336658,4.359491423309777,139.467,83.148210721,31.675594,0.341299,0.333287960557248,2.212715482096754
Argentina,ARG,2014,187.411829906,42669500.0,12334.79824538929,4.392173095677241,138.576,83.528709766,31.790498,0.458232,0.35607984892002775,2.2436816087668716
Argentina,ARG,2015,193.243206743,43131966.0,13789.060424772022,4.480278194205198,145.447,85.58779527,28.38216,0.422147,0.3249154080256539,2.257836016611764
Argentina,ARG,2016,193.671006489,43590368.0,12790.242473244707,4.442977092760493,147.22,86.257918035,27.219807,0.385817,0.34737238969898676,2.2452548229881466
Argentina,ARG,2017,188.22538273700002,44044811.0,14591.863381054129,4.273497341991092,147.074539828,84.687454409,29.916396,0.399447,0.29286851380062545,2.2225887417510655
Argentina,ARG,2018,185.414433833,44494502.0,11652.566289748715,4.167131342047608,148.17041737300002,83.658868283,30.737978,0.956281,0.3576149011667602,2.216315348730068
Australia,AUS,1990,270.444863569,17065100.0,18211.13930936482,15.847833506337496,155.019,87.155149096,10.082635,0.0,0.870227460079226,3.103027949285123
Australia,AUS,1991,271.185035195,17284000.0,18821.25033882728,15.689946493577875,156.818,85.99050849,10.758969,0.0,0.8336293397686929,3.153662421086121
Australia,AUS,1992,275.580670099,17495000.0,18569.505043321395,15.751967424921405,159.54500000000002,87.416610367,10.303049,0.0,0.8482707206343484,3.152497779793031
Australia,AUS,1993,280.17939405100003,17667000.0,17633.977951925754,15.858911759268697,163.65,91.413931784,10.775435,0.006722,0.8993383003258657,3.064952886098695
Australia,AUS,1994,281.695005212,17855000.0,18045.865261700652,15.77681350949314,167.463,91.762798329,10.352137,0.010151,0.8742619586646699,3.069817075565091
Australia,AUS,1995,290.151954502,18072000.0,20319.63062839557,16.05533170108455,173.159,93.763610181,9.808904,0.013283,0.7901389545264718,3.094504935783665
Australia,AUS,1996,306.98180116099996,18311000.0,21861.325509869977,16.764884559062857,177.598,100.16606904000001,9.394813,0.01464,0.7668741106980831,3.0647284465002893
Australia,AUS,1997,315.805666827,18517000.0,23468.5968306374,17.054904510827885,182.939,101.351871212,9.755711,0.016399,0.7267117260527194,3.1159332634956693
Australia,AUS,1998,331.301295394,18711000.0,21318.964169431812,17.706231382288493,195.369,104.059783357,8.598089,0.018427,0.8305390093800413,3.1837592267264094
Australia,AUS,1999,338.659558806,18926000.0,20533.035061906994,17.8938792563669,203.987,106.390313441,8.705457,0.030394,0.8714678177101898,3.1831803841221658
Australia,AUS,2000,344.487906387,19153000.0,21679.24784241465,17.986106948624236,210.22400000000002,108.30993544200001,8.538511,0.045666,0.8296462626085708,3.1805753090073012
Australia,AUS,2001,345.21709193400005,19413000.0,19490.861109730293,17.782779165198583,224.635,105.81660519600001,8.249827,0.113072,0.9123649830084215,3.2624094422096395
Australia,AUS,2002,357.38147668600004,19651400.0,20082.483267274925,18.186056804400707,227.555,109.416853989,7.932588,0.181934,0.9055681293177269,3.2662379117748044
Australia,AUS,2003,355.479590965,19895400.0,23447.031000671657,17.8674261872091,220.802,109.950930222,8.530267,0.345106,0.7620336317505306,3.23307488392556
Australia,AUS,2004,369.360978728,20127400.0,30430.676437444316,18.35115209753868,228.434,111.857555145,8.275476,0.338829,0.60304778749374,3.3020655444256803
Australia,AUS,2005,378.463605359,20394800.0,33999.242857583544,18.55686769956067,228.65,113.47737017300001,8.924557,0.421605,0.5458023808733597,3.3351460716971117
Australia,AUS,2006,384.761945358,20697900.0,36044.92281084848,18.58941947530909,232.83,118.171763008,9.339432,0.775244,0.5157292074908871,3.255955023129784
Australia,AUS,2007,395.085105914,20827600.0,40960.05449481985,18.969305436728188,243.157,122.22458052,8.714945,1.11903,0.4631171923642632,3.2324521322398887
Australia,AUS,2008,397.586619456,21249200.0,49601.65670821779,18.71066296406453,243.221,126.74553437700001,8.171169,1.32431,0.3772185085294666,3.136888580811005
Australia,AUS,2009,402.39826841900003,21691700.0,42772.359166449794,18.550794470650064,248.162,127.131158641,7.522908,1.605806,0.4337098732024377,3.165221435252663
Australia,AUS,2010,402.983811709,22031750.0,52022.12559618756,18.291048677885325,252.661,127.298409859,8.615497,2.153874,0.35160133247661424,3.1656625731252923
Australia,AUS,2011,400.450049198,22340024.0,62517.83374715029,17.925229140219365,253.82,128.21877987,10.395556,2.945788,0.2867218530430357,3.1231778184444834
Australia,AUS,2012,397.959444783,22733465.0,68012.14790059341,17.50544603662486,250.931,126.63828467100001,10.529588,3.704604,0.25738704888736685,3.142489222882945
Australia,AUS,2013,393.61000317400004,23128129.0,68150.10704132149,17.018670346139977,249.37,126.40656824300001,13.176405,4.585957,0.24972331057119304,3.113841382176728
Australia,AUS,2014,383.96902613900005,23475686.0,62510.79117056414,16.356030070388574,247.451,125.091020358,14.627138,5.763969,0.26165130474449194,3.0695171007488224
Australia,AUS,2015,386.007558657,23815995.0,56748.4202606605,16.207912315105876,251.415,125.20884829500001,13.342084,6.559275,0.2856099295920247,3.0829095859706466
Australia,AUS,2016,399.498853874,24190907.0,50019.96776771143,16.514422294046273,256.563,129.88116589400002,14.596025,7.174846,0.3301565960765484,3.0758797946119705
Australia,AUS,2017,399.137455356,24601860.0,54093.602190894424,16.223873128129334,256.640886224,130.319941636,15.828659,8.009246,0.2999222176196707,3.0627504152115193
Australia,AUS,2018,403.10730948,24992369.0,57305.29901620453,16.12921566098836,258.99399101800003,132.312727876,19.604814,10.146843,0.2814611552140652,3.046625339459266
Chile,CHL,1990,30.955279613,13274623.0,2494.525668862544,2.331914029724234,18.372,14.010789593,53.837361,0.0,0.9348126013822669,2.209388657757427
